4,teacher,student,male,female
104,0,1,0,1
105,0,1,1,0
106,0,1,0,1
107,0,1,0,1
108,0,1,0,1
109,0,1,0,1
110,0,1,0,1
111,0,1,0,1
112,0,1,0,1
113,0,1,0,1
114,0,1,0,1
115,0,1,0,1
116,0,1,0,1
117,0,1,0,1
118,0,1,0,1
119,0,1,0,1
120,0,1,0,1
121,0,1,1,0
122,0,1,0,1
123,0,1,0,1
124,0,1,0,1
125,0,1,1,0
126,0,1,1,0
127,0,1,0,1
128,0,1,1,0
129,0,1,0,1
130,0,1,0,1
131,0,1,0,1
132,0,1,0,1
133,0,1,1,0
134,0,1,0,1
135,0,1,0,1
136,0,1,1,0
137,0,1,1,0
138,0,1,0,1
139,0,1,1,0
140,0,1,1,0
141,0,1,1,0
142,0,1,0,1
143,0,1,0,1
144,0,1,1,0
145,0,1,1,0
146,0,1,0,1
147,0,1,0,1
148,0,1,1,0
149,0,1,1,0
150,0,1,0,1
151,0,1,1,0
152,0,1,0,1
153,0,1,1,0
154,0,1,0,1
155,0,1,1,0
156,0,1,0,1
157,0,1,1,0
158,0,1,0,1
159,0,1,1,0
160,0,1,1,0
161,0,1,1,0
162,0,1,0,1
163,0,1,1,0
164,0,1,0,1
165,0,1,0,1
166,0,1,0,1
167,1,0,1,0
168,0,1,1,0
169,0,1,1,0
170,0,1,1,0
171,0,1,1,0
172,0,1,0,1
173,0,1,1,0
174,0,1,0,1
175,0,1,1,0
176,0,1,1,0
177,0,1,0,1
178,0,1,0,1
179,0,1,0,1
180,0,1,0,1
181,0,1,1,0
182,0,1,1,0
183,0,1,0,1
184,0,1,0,1
185,0,1,0,1
186,0,1,0,1
187,0,1,1,0
188,0,1,0,1
189,0,1,0,1
190,0,1,0,1
191,0,1,1,0
192,0,1,1,0
193,0,1,0,1
194,0,1,0,1
195,0,1,0,1
196,0,1,1,0
197,0,1,1,0
198,0,1,1,0
199,1,0,1,0
200,0,1,1,0
201,0,1,0,1
202,0,1,1,0
203,0,1,1,0
204,0,1,1,0
205,0,1,1,0
206,0,1,1,0
207,0,1,1,0
208,0,1,1,0
209,0,1,0,1
210,0,1,1,0
211,0,1,0,1
212,0,1,1,0
213,0,1,1,0
214,0,1,0,1
215,0,1,1,0
216,0,1,0,1
217,0,1,0,1
218,0,1,0,1
219,0,1,0,1
220,0,1,1,0
221,0,1,1,0
222,0,1,1,0
223,0,1,0,1
224,0,1,0,1
225,0,1,0,1
226,0,1,0,1
227,0,1,0,1
228,0,1,1,0
229,0,1,1,0
230,1,0,1,0
231,0,1,1,0
232,0,1,1,0
233,0,1,1,0
234,0,1,0,1
235,0,1,0,1
236,0,1,0,1
237,0,1,1,0
238,0,1,0,1
239,0,1,0,1
240,0,1,1,0
241,0,1,1,0
242,0,1,0,1
243,0,1,1,0
244,0,1,1,0
245,0,1,0,1
246,0,1,1,0
247,0,1,0,1
248,0,1,0,1
249,0,1,1,0
250,0,1,0,1
251,0,1,0,1
252,0,1,1,0
253,0,1,0,1
254,0,1,1,0
255,0,1,0,1
256,0,1,0,1
257,0,1,0,1
258,0,1,1,0
259,0,1,1,0
260,0,1,1,0
261,0,1,1,0
262,0,1,1,0
263,0,1,0,1
264,0,1,0,1
265,0,1,0,1
266,0,1,0,1
267,0,1,0,1
268,0,1,0,1
269,0,1,1,0
270,0,1,1,0
271,0,1,0,1
272,0,1,0,1
273,0,1,1,0
274,0,1,1,0
275,0,1,0,1
276,0,1,0,1
277,1,0,1,0
278,0,1,0,1
279,0,1,0,1
280,0,1,0,1
281,0,1,1,0
282,0,1,1,0
283,0,1,1,0
284,0,1,1,0
285,0,1,0,1
286,0,1,0,1
287,0,1,0,1
288,0,1,0,1
289,0,1,0,1
290,0,1,0,1
291,0,1,1,0
292,0,1,1,0
293,0,1,0,1
294,0,1,0,1
295,0,1,0,1
296,0,1,0,1
297,0,1,1,0
298,0,1,0,1
299,0,1,1,0
300,0,1,1,0
301,0,1,0,1
302,0,1,0,1
303,0,1,0,1
304,0,1,1,0
305,0,1,1,0
306,0,1,1,0
307,0,1,1,0
308,0,1,0,1
309,0,1,0,1
310,0,1,1,0
311,0,1,0,1
312,0,1,0,1
313,0,1,0,1
314,0,1,0,1
315,0,1,0,1
316,0,1,0,1
317,0,1,1,0
318,0,1,1,0
319,0,1,0,1
320,0,1,0,1
321,0,1,1,0
322,0,1,1,0
323,0,1,1,0
324,0,1,0,1
325,1,0,0,1
326,0,1,1,0
327,0,1,1,0
328,0,1,1,0
329,0,1,0,1
330,0,1,0,1
331,0,1,1,0
332,0,1,0,1
333,0,1,0,1
334,0,1,1,0
335,0,1,0,1
336,0,1,0,1
337,0,1,0,1
338,0,1,0,1
339,0,1,1,0
340,0,1,1,0
341,0,1,1,0
342,0,1,0,1
343,0,1,0,1
344,0,1,1,0
345,0,1,0,1
346,0,1,1,0
347,0,1,1,0
348,0,1,0,1
349,0,1,1,0
350,0,1,1,0
351,0,1,0,1
352,0,1,0,1
353,0,1,0,1
354,0,1,1,0
355,0,1,0,1
356,0,1,1,0
357,0,1,0,1
358,0,1,1,0
359,0,1,1,0
360,0,1,0,1
361,0,1,0,1
362,0,1,0,1
363,0,1,0,1
364,0,1,0,1
365,0,1,1,0
366,0,1,1,0
367,0,1,0,1
368,0,1,0,1
369,0,1,1,0
370,0,1,0,1
371,0,1,1,0
372,0,1,0,1
373,0,1,0,1
374,0,1,1,0
375,0,1,0,1
376,0,1,0,1
377,0,1,0,1
378,0,1,1,0
379,0,1,1,0
380,0,1,0,1
381,0,1,0,1
382,0,1,0,1
383,0,1,1,0
384,0,1,0,1
385,0,1,0,1
386,0,1,1,0
387,0,1,0,1
388,0,1,1,0
389,0,1,0,1
390,0,1,0,1
391,0,1,1,0
392,0,1,1,0
393,0,1,0,1
394,0,1,0,1
395,0,1,0,1
396,0,1,0,1
397,0,1,0,1
398,0,1,0,1
399,0,1,1,0
400,0,1,0,1
401,0,1,1,0
402,0,1,0,1
403,0,1,0,1
404,0,1,1,0
405,0,1,1,0
406,0,1,1,0
407,0,1,0,1
408,0,1,0,1
409,0,1,1,0
410,0,1,1,0
411,0,1,0,1
412,0,1,0,1
413,0,1,0,1
414,0,1,0,1
415,0,1,0,1
416,0,1,0,1
417,0,1,0,1
418,0,1,0,1
419,0,1,1,0
420,0,1,1,0
421,0,1,1,0
422,0,1,0,1
423,0,1,0,1
424,0,1,0,1
425,0,1,0,1
426,0,1,0,1
427,0,1,0,1
428,0,1,0,1
429,0,1,1,0
430,0,1,1,0
431,0,1,1,0
432,0,1,0,1
433,0,1,0,1
434,0,1,1,0
435,0,1,1,0
436,0,1,0,1
437,0,1,0,1
438,0,1,1,0
439,0,1,0,1
440,0,1,0,1
441,0,1,1,0
442,0,1,1,0
443,0,1,1,0
444,0,1,0,1
445,0,1,1,0
446,0,1,1,0
447,0,1,0,1
448,0,1,0,1
449,0,1,1,0
450,0,1,1,0
451,0,1,0,1
452,0,1,0,1
453,0,1,0,1
454,0,1,1,0
455,0,1,1,0
456,0,1,0,1
457,0,1,0,1
458,0,1,0,1
459,0,1,0,1
460,0,1,1,0
461,0,1,0,1
462,0,1,1,0
463,0,1,0,1
464,0,1,0,1
465,0,1,1,0
466,0,1,0,1
467,0,1,1,0
468,0,1,1,0
469,0,1,0,1
470,0,1,0,1
471,0,1,1,0
472,0,1,1,0
473,0,1,0,1
474,0,1,1,0
475,0,1,0,1
476,0,1,0,1
477,0,1,0,1
478,0,1,0,1
479,0,1,0,1
480,0,1,0,1
481,0,1,1,0
482,0,1,1,0
483,0,1,0,1
484,0,1,0,1
485,0,1,1,0
486,0,1,0,1
487,0,1,0,1
488,1,0,0,1
489,0,1,1,0
490,0,1,0,1
491,0,1,0,1
492,0,1,0,1
493,0,1,1,0
494,0,1,0,1
495,1,0,0,1
496,0,1,0,1
497,0,1,1,0
498,0,1,0,1
499,0,1,0,1
500,0,1,0,1
501,0,1,1,0
502,0,1,1,0
503,0,1,1,0
504,0,1,0,1
505,0,1,0,1
506,1,0,0,1
507,0,1,0,1
508,0,1,0,1
509,0,1,1,0
510,0,1,1,0
511,0,1,0,1
512,0,1,1,0
513,0,1,1,0
514,0,1,0,1
515,0,1,0,1
516,0,1,0,1
517,0,1,0,1
518,0,1,1,0
519,0,1,1,0
520,1,0,1,0
521,0,1,1,0
522,0,1,0,1
523,0,1,1,0
524,0,1,0,1
525,0,1,0,1
526,0,1,0,1
527,0,1,1,0
528,0,1,0,1
529,0,1,1,0
530,0,1,1,0
531,0,1,1,0
532,0,1,1,0
533,0,1,1,0
534,0,1,1,0
535,0,1,1,0
536,0,1,1,0
537,0,1,1,0
538,0,1,1,0
539,0,1,1,0
540,0,1,0,1
541,0,1,1,0
542,0,1,1,0
543,0,1,1,0
544,0,1,1,0
545,0,1,1,0
546,0,1,0,1
547,0,1,1,0
548,0,1,0,1
549,0,1,0,1
550,0,1,0,1
551,0,1,1,0
552,0,1,1,0
553,0,1,0,1
554,0,1,0,1
555,0,1,1,0
556,0,1,0,1
557,0,1,1,0
558,0,1,1,0
559,0,1,1,0
560,0,1,1,0
561,0,1,1,0
562,0,1,1,0
563,0,1,1,0
564,0,1,1,0
565,1,0,0,1
566,0,1,0,1
567,0,1,0,1
568,0,1,1,0
569,0,1,0,1
570,0,1,1,0
571,0,1,0,1
572,0,1,0,1
573,0,1,1,0
574,0,1,0,1
575,0,1,0,1
576,0,1,0,1
577,0,1,0,1
578,0,1,0,1
579,0,1,0,1
580,0,1,0,1
581,0,1,0,1
582,0,1,0,1
583,0,1,1,0
584,0,1,0,1
585,0,1,0,1
586,0,1,0,1
587,0,1,1,0
588,0,1,0,1
589,0,1,1,0
590,0,1,1,0
591,0,1,1,0
592,0,1,1,0
593,0,1,0,1
594,1,0,1,0
595,0,1,0,1
596,0,1,0,1
597,0,1,0,1
598,0,1,0,1
599,0,1,0,1
600,0,1,0,1
601,1,0,0,1
602,0,1,0,1
603,0,1,0,1
604,0,1,0,1
605,0,1,1,0
606,1,0,0,1
607,0,1,1,0
608,0,1,0,1
609,0,1,0,1
610,0,1,0,1
611,0,1,0,1
612,0,1,0,1
613,0,1,1,0
614,0,1,0,1
615,0,1,0,1
616,0,1,0,1
617,0,1,1,0
618,0,1,0,1
619,0,1,1,0
620,0,1,1,0
621,0,1,1,0
622,0,1,0,1
623,0,1,0,1
624,0,1,0,1
625,0,1,0,1
626,0,1,0,1
627,0,1,0,1
628,0,1,1,0
629,0,1,1,0
630,0,1,0,1
631,0,1,0,1
632,0,1,1,0
633,0,1,1,0
634,0,1,1,0
635,0,1,0,1
636,0,1,1,0
637,0,1,0,1
638,1,0,0,1
639,0,1,1,0
640,0,1,0,1
641,0,1,1,0
642,0,1,0,1
643,0,1,0,1
644,0,1,1,0
645,1,0,1,0
646,0,1,1,0
647,0,1,1,0
648,0,1,1,0
649,0,1,1,0
650,0,1,0,1
651,0,1,0,1
652,0,1,1,0
653,0,1,0,1
654,0,1,1,0
655,0,1,0,1
656,0,1,1,0
657,0,1,1,0
658,0,1,1,0
659,0,1,1,0
660,0,1,1,0
661,0,1,0,1
662,0,1,0,1
663,0,1,0,1
664,0,1,1,0
665,0,1,1,0
666,0,1,1,0
667,1,0,1,0
668,0,1,1,0
669,0,1,1,0
670,0,1,1,0
671,0,1,1,0
672,0,1,1,0
673,0,1,1,0
674,0,1,1,0
675,0,1,0,1
676,0,1,0,1
677,0,1,0,1
678,0,1,1,0
679,1,0,1,0
680,0,1,1,0
681,0,1,0,1
682,0,1,0,1
683,0,1,1,0
684,0,1,1,0
685,0,1,1,0
686,0,1,1,0
687,0,1,1,0
688,0,1,1,0
689,0,1,1,0
690,0,1,1,0
691,0,1,0,1
692,0,1,0,1
693,0,1,0,1
694,0,1,1,0
695,0,1,0,1
696,0,1,0,1
697,0,1,0,1
698,0,1,1,0
699,1,0,0,1
700,0,1,0,1
701,0,1,0,1
702,0,1,0,1
703,0,1,0,1
704,0,1,0,1
705,0,1,0,1
706,0,1,0,1
707,0,1,1,0
708,0,1,1,0
709,1,0,1,0
710,0,1,0,1
711,1,0,1,0
712,1,0,0,1
713,0,1,0,1
714,0,1,0,1
715,0,1,1,0
716,0,1,1,0
717,0,1,1,0
718,0,1,1,0
719,1,0,0,1
720,0,1,1,0
721,0,1,1,0
722,0,1,0,1
723,0,1,0,1
724,0,1,1,0
725,0,1,0,1
726,0,1,0,1
727,0,1,0,1
728,0,1,0,1
729,0,1,0,1
730,0,1,0,1
731,0,1,1,0
732,0,1,0,1
733,0,1,0,1
734,0,1,0,1
735,0,1,0,1
736,1,0,1,0
737,0,1,1,0
738,0,1,1,0
739,0,1,0,1
740,0,1,0,1
741,1,0,0,1
742,0,1,1,0
743,0,1,0,1
744,0,1,0,1
745,1,0,1,0
746,0,1,1,0
747,0,1,1,0
748,1,0,1,0
749,0,1,0,1
750,0,1,0,1
751,0,1,1,0
752,0,1,0,1
753,0,1,0,1
754,0,1,1,0
755,1,0,0,1
756,0,1,0,1
757,0,1,0,1
758,0,1,0,1
759,0,1,0,1
760,0,1,0,1
761,0,1,0,1
762,0,1,0,1
763,0,1,1,0
764,0,1,1,0
765,0,1,0,1
766,0,1,1,0
767,0,1,0,1
768,0,1,0,1
769,0,1,1,0
770,1,0,1,0
771,0,1,1,0
772,0,1,1,0
773,0,1,1,0
774,0,1,0,1
775,0,1,1,0
776,0,1,1,0
777,0,1,1,0
778,0,1,0,1
779,0,1,1,0
780,0,1,0,1
781,0,1,1,0
782,0,1,0,1
783,0,1,0,1
784,0,1,0,1
785,0,1,0,1
786,0,1,0,1
787,0,1,0,1
788,0,1,0,1
789,0,1,1,0
790,0,1,0,1
791,0,1,1,0
792,0,1,1,0
793,0,1,0,1
794,0,1,0,1
795,0,1,1,0
796,0,1,1,0
797,0,1,1,0
798,0,1,0,1
799,0,1,0,1
800,0,1,0,1
801,0,1,1,0
802,0,1,1,0
803,0,1,1,0
804,0,1,0,1
805,0,1,0,1
806,0,1,0,1
807,0,1,1,0
808,0,1,1,0
809,0,1,1,0
810,0,1,0,1
811,1,0,1,0
812,0,1,1,0
813,0,1,0,1
814,0,1,0,1
815,0,1,0,1
816,0,1,0,1
817,0,1,1,0
818,0,1,0,1
819,0,1,1,0
820,0,1,1,0
821,0,1,1,0
822,0,1,0,1
823,1,0,0,1
824,0,1,1,0
825,0,1,0,1
826,0,1,1,0
827,0,1,1,0
828,0,1,1,0
829,0,1,1,0
830,0,1,0,1
831,0,1,0,1
832,0,1,1,0
833,0,1,0,1
834,0,1,0,1
835,1,0,0,1
836,0,1,0,1
837,0,1,0,1
838,0,1,0,1
839,0,1,0,1
840,0,1,1,0
841,0,1,1,0
842,0,1,1,0
843,0,1,1,0
844,0,1,1,0
845,0,1,1,0
846,0,1,0,1
847,0,1,1,0
848,0,1,1,0
849,0,1,1,0
850,0,1,1,0
851,0,1,0,1
852,0,1,0,1
853,0,1,0,1
854,0,1,1,0
855,1,0,0,1
856,0,1,0,1
857,0,1,0,1
858,0,1,0,1
859,0,1,0,1
860,0,1,0,1
861,0,1,0,1
862,0,1,0,1
863,0,1,0,1
864,0,1,1,0
865,0,1,0,1
866,0,1,1,0
867,0,1,0,1
868,0,1,1,0
869,0,1,1,0
870,0,1,0,1
871,0,1,1,0
872,0,1,1,0
873,0,1,0,1
874,0,1,1,0
875,0,1,0,1
876,0,1,0,1
877,0,1,1,0
878,0,1,0,1
879,1,0,0,1
880,0,1,1,0
881,0,1,0,1
882,0,1,0,1
883,0,1,0,1
884,0,1,0,1
885,0,1,0,1
886,0,1,0,1
887,0,1,0,1
888,0,1,1,0
889,0,1,1,0
890,0,1,1,0
891,0,1,0,1
892,0,1,1,0
893,0,1,0,1
894,0,1,1,0
895,1,0,1,0
896,0,1,0,1
897,0,1,0,1
898,0,1,0,1
899,0,1,1,0
900,0,1,0,1
901,0,1,0,1
902,0,1,0,1
903,0,1,1,0
904,0,1,0,1
905,0,1,0,1
906,0,1,1,0
907,0,1,0,1
908,0,1,0,1
909,0,1,0,1
910,0,1,0,1
911,0,1,0,1
912,0,1,0,1
913,0,1,0,1
914,0,1,0,1
915,0,1,0,1
916,0,1,1,0
917,0,1,1,0
918,0,1,1,0
919,0,1,0,1
920,0,1,1,0
921,0,1,0,1
922,0,1,1,0
923,0,1,1,0
924,0,1,0,1
925,0,1,0,1
926,0,1,1,0
927,0,1,0,1
928,0,1,0,1
929,0,1,0,1
930,0,1,0,1
931,0,1,0,1
932,0,1,0,1
933,0,1,1,0
934,0,1,0,1
935,0,1,1,0
936,0,1,0,1
937,0,1,1,0
938,0,1,0,1
939,0,1,1,0
940,0,1,0,1
941,0,1,0,1
942,0,1,0,1
943,0,1,0,1
944,0,1,0,1
945,0,1,0,1
946,0,1,1,0
947,0,1,0,1
948,0,1,0,1
949,0,1,0,1
950,1,0,0,1
951,0,1,0,1
952,0,1,0,1
953,0,1,1,0
954,0,1,1,0
955,0,1,1,0
956,0,1,1,0
957,0,1,1,0
958,0,1,1,0
959,0,1,1,0
960,0,1,1,0
961,0,1,0,1
962,0,1,1,0
963,0,1,0,1
964,0,1,1,0
965,0,1,0,1
966,0,1,0,1
967,0,1,1,0
968,0,1,1,0
969,0,1,0,1
970,0,1,0,1
971,0,1,1,0
972,0,1,1,0
973,0,1,0,1
974,0,1,0,1
975,0,1,1,0
976,0,1,1,0
977,0,1,1,0
978,0,1,1,0
979,0,1,1,0
980,0,1,0,1
981,0,1,0,1
982,0,1,0,1
983,0,1,1,0
984,0,1,0,1
985,0,1,0,1
986,1,0,1,0
987,0,1,1,0
988,0,1,1,0
989,0,1,0,1
990,0,1,1,0
991,0,1,0,1
992,0,1,0,1
993,0,1,0,1
994,0,1,0,1
995,0,1,1,0
996,0,1,1,0
997,0,1,1,0
998,0,1,0,1
999,0,1,0,1
1000,0,1,0,1
1001,0,1,1,0
1002,0,1,0,1
1003,1,0,0,1
1004,0,1,1,0
1005,1,0,0,1
1006,0,1,1,0
1007,0,1,0,1
1008,0,1,0,1
1009,0,1,0,1
1010,0,1,0,1
1011,1,0,1,0
1012,0,1,1,0
1013,0,1,1,0
1014,0,1,0,1
1015,0,1,1,0
1016,0,1,1,0
1017,0,1,1,0
1018,0,1,0,1
1019,0,1,0,1
1020,0,1,0,1
1021,0,1,1,0
1022,0,1,0,1
1023,0,1,1,0
1024,1,0,1,0
1025,0,1,1,0
1026,0,1,0,1
1027,0,1,0,1
1028,0,1,1,0
1029,0,1,0,1
1030,0,1,0,1
1031,0,1,0,1
1032,0,1,0,1
1033,0,1,1,0
1034,1,0,1,0
1035,0,1,1,0
1036,0,1,0,1
1037,0,1,1,0
1038,0,1,0,1
1039,0,1,0,1
1040,0,1,1,0
1041,0,1,0,1
1042,0,1,0,1
1043,0,1,1,0
1044,0,1,0,1
1045,0,1,1,0
1046,0,1,1,0
1047,0,1,1,0
1048,0,1,1,0
1049,0,1,0,1
1050,0,1,0,1
1051,1,0,0,1
1052,0,1,1,0
1053,0,1,1,0
1054,0,1,1,0
1055,0,1,0,1
1056,0,1,1,0
1057,0,1,0,1
1058,1,0,1,0
1059,0,1,0,1
1060,0,1,0,1
1061,1,0,0,1
1062,0,1,0,1
1063,0,1,0,1
1064,0,1,0,1
1065,0,1,0,1
1066,1,0,0,1
1067,0,1,1,0
1068,0,1,1,0
1069,0,1,1,0
1070,0,1,1,0
1071,0,1,0,1
1072,0,1,0,1
1073,0,1,0,1
1074,0,1,0,1
1075,0,1,1,0
1076,0,1,0,1
1077,0,1,0,1
1078,0,1,1,0
1079,0,1,0,1
1080,0,1,0,1
1081,0,1,1,0
1082,0,1,0,1
1083,0,1,1,0
1084,0,1,0,1
1085,0,1,0,1
1086,0,1,1,0
1087,0,1,0,1
1088,0,1,1,0
1089,0,1,0,1
1090,0,1,0,1
1091,1,0,0,1
1092,0,1,1,0
1093,0,1,1,0
1094,0,1,1,0
1095,0,1,1,0
1096,0,1,0,1
1097,0,1,0,1
1098,0,1,0,1
1099,0,1,0,1
1100,0,1,1,0
1101,0,1,0,1
1102,0,1,0,1
1103,0,1,1,0
1104,0,1,0,1
1105,0,1,1,0
1106,0,1,0,1
1107,0,1,0,1
1108,1,0,1,0
1109,0,1,1,0
1110,0,1,0,1
1111,0,1,1,0
1112,0,1,0,1
1113,0,1,1,0
1114,0,1,0,1
1115,0,1,0,1
1116,0,1,0,1
1117,0,1,1,0
1118,0,1,1,0
1119,0,1,0,1
1120,0,1,0,1
1121,0,1,0,1
1122,0,1,0,1
1123,0,1,0,1
1124,0,1,0,1
1125,0,1,1,0
1126,0,1,0,1
1127,0,1,1,0
1128,0,1,1,0
1129,0,1,1,0
1130,0,1,0,1
1131,0,1,0,1
1132,0,1,0,1
1133,0,1,0,1
1134,0,1,1,0
1135,0,1,0,1
1136,0,1,0,1
1137,0,1,0,1
1138,0,1,0,1
1139,0,1,0,1
1140,0,1,1,0
1141,0,1,0,1
1142,0,1,1,0
1143,0,1,0,1
1144,0,1,1,0
1145,0,1,1,0
1146,0,1,0,1
1147,0,1,1,0
1148,0,1,1,0
1149,0,1,1,0
1150,0,1,1,0
1151,0,1,0,1
1152,0,1,1,0
1153,0,1,1,0
1154,0,1,1,0
1155,0,1,0,1
1156,0,1,1,0
1157,0,1,0,1
1158,0,1,0,1
1159,0,1,0,1
1160,0,1,1,0
1161,0,1,0,1
1162,0,1,0,1
1163,0,1,0,1
1164,0,1,0,1
1165,0,1,0,1
1166,0,1,0,1
1167,0,1,0,1
1168,0,1,1,0
1169,0,1,0,1
1170,0,1,1,0
1171,0,1,0,1
1172,0,1,1,0
1173,0,1,1,0
1174,0,1,0,1
1175,0,1,1,0
1176,0,1,1,0
1177,0,1,0,1
1178,0,1,1,0
1179,1,0,0,1
1180,0,1,0,1
1181,0,1,1,0
1182,0,1,0,1
1183,0,1,0,1
1184,0,1,0,1
1185,0,1,0,1
1186,0,1,0,1
1187,0,1,0,1
1188,0,1,1,0
1189,0,1,1,0
1190,0,1,1,0
1191,0,1,1,0
1192,0,1,1,0
1193,0,1,0,1
1194,0,1,1,0
1195,0,1,0,1
1196,0,1,1,0
1197,0,1,1,0
1198,0,1,1,0
1199,0,1,0,1
1200,0,1,0,1
1201,0,1,1,0
1202,0,1,0,1
1203,0,1,0,1
1204,0,1,0,1
1205,0,1,0,1
1206,0,1,0,1
1207,0,1,1,0
1208,0,1,0,1
1209,0,1,1,0
1210,0,1,0,1
1211,0,1,1,0
1212,0,1,1,0
1213,0,1,1,0
1214,0,1,1,0
1215,0,1,1,0
1216,0,1,1,0
1217,0,1,1,0
1218,0,1,1,0
1219,0,1,1,0
1220,0,1,0,1
1221,0,1,1,0
1222,0,1,0,1
1223,0,1,0,1
1224,0,1,0,1
1225,1,0,0,1
1226,0,1,0,1
1227,0,1,1,0
1228,0,1,1,0
1229,0,1,1,0
1230,0,1,0,1
1231,0,1,0,1
1232,0,1,0,1
1233,0,1,1,0
1234,0,1,1,0
1235,0,1,0,1
1236,0,1,0,1
1237,0,1,0,1
1238,0,1,0,1
1239,0,1,0,1
1240,0,1,0,1
1241,1,0,0,1
1242,0,1,1,0
1243,1,0,0,1
1244,0,1,0,1
1245,0,1,0,1
1246,0,1,0,1
1247,0,1,1,0
1248,0,1,0,1
1249,0,1,1,0
1250,0,1,0,1
1251,0,1,1,0
1252,1,0,0,1
1253,0,1,0,1
1254,0,1,1,0
1255,0,1,0,1
1256,0,1,0,1
1257,0,1,1,0
1258,1,0,1,0
1259,0,1,1,0
1260,0,1,0,1
1261,0,1,1,0
1262,0,1,1,0
1263,0,1,0,1
1264,0,1,0,1
1265,0,1,0,1
1266,0,1,0,1
1267,0,1,0,1
1268,0,1,0,1
1269,0,1,1,0
1270,0,1,1,0
1271,0,1,1,0
1272,0,1,0,1
1273,0,1,1,0
1274,0,1,0,1
1275,0,1,0,1
1276,0,1,1,0
1277,0,1,0,1
1278,0,1,1,0
1279,0,1,0,1
1280,0,1,1,0
1281,0,1,0,1
1282,0,1,1,0
1283,0,1,0,1
1284,0,1,0,1
1285,0,1,0,1
1286,0,1,1,0
1287,0,1,0,1
1288,0,1,0,1
1289,0,1,0,1
1290,0,1,0,1
1291,0,1,0,1
1292,0,1,1,0
1293,0,1,0,1
1294,0,1,0,1
1295,0,1,1,0
1296,0,1,0,1
1297,0,1,0,1
1298,0,1,0,1
1299,0,1,0,1
1300,0,1,0,1
1301,0,1,0,1
1302,0,1,0,1
1303,0,1,1,0
1304,0,1,0,1
1305,0,1,0,1
1306,0,1,0,1
1307,0,1,0,1
1308,0,1,1,0
1309,0,1,0,1
1310,1,0,1,0
1311,0,1,0,1
1312,0,1,0,1
1313,0,1,0,1
1314,0,1,0,1
1315,0,1,0,1
1316,0,1,0,1
1317,0,1,1,0
1318,0,1,0,1
1319,0,1,1,0
1320,0,1,0,1
1321,0,1,1,0
1322,0,1,0,1
1323,0,1,0,1
1324,0,1,1,0
1325,0,1,1,0
1326,0,1,0,1
1327,0,1,1,0
1328,0,1,0,1
1329,0,1,1,0
1330,0,1,1,0
1331,0,1,0,1
1332,0,1,0,1
1333,0,1,1,0
1334,0,1,0,1
1335,0,1,0,1
1336,0,1,0,1
1337,0,1,1,0
1338,0,1,0,1
1339,0,1,0,1
1340,0,1,1,0
1341,0,1,0,1
1342,0,1,1,0
1343,0,1,1,0
1344,0,1,0,1
1345,0,1,0,1
1346,0,1,0,1
1347,0,1,0,1
1348,0,1,1,0
1349,0,1,0,1
1350,0,1,1,0
1351,0,1,1,0
1352,0,1,1,0
1353,0,1,0,1
1354,0,1,1,0
1355,0,1,1,0
1356,0,1,0,1
1357,0,1,1,0
1358,0,1,1,0
1359,0,1,0,1
1360,0,1,0,1
